age,job,marital,education,housing,loan,deposit
35,admin.,married,secondary,yes,no,yes
56,blue-collar,married,secondary,yes,no,yes
45,unemployed,divorced,secondary,yes,no,yes
60,blue-collar,divorced,secondary,yes,no,yes
56,technician,married,secondary,yes,no,yes
27,management,single,tertiary,yes,no,yes
30,admin.,married,secondary,yes,no,yes
45,blue-collar,divorced,primary,yes,no,yes
29,blue-collar,single,secondary,yes,no,yes
38,management,divorced,tertiary,yes,no,yes
30,blue-collar,married,secondary,yes,no,yes
44,blue-collar,single,primary,yes,no,yes
36,management,single,tertiary,yes,no,yes
38,technician,married,secondary,yes,no,yes
36,blue-collar,single,secondary,yes,yes,yes
37,management,divorced,secondary,yes,no,yes
35,management,single,tertiary,yes,no,yes
38,admin.,divorced,secondary,yes,no,yes
40,services,married,primary,yes,no,yes
42,unemployed,divorced,secondary,yes,no,yes
46,management,divorced,tertiary,yes,no,yes
35,technician,divorced,secondary,yes,no,yes
34,technician,divorced,secondary,yes,no,yes
32,services,married,secondary,yes,no,yes
50,unemployed,married,secondary,yes,no,yes
35,blue-collar,married,secondary,yes,yes,yes
36,technician,single,secondary,yes,no,yes
53,blue-collar,divorced,primary,yes,no,yes
46,management,single,tertiary,yes,no,yes
26,management,single,tertiary,yes,no,yes
45,technician,single,secondary,yes,no,yes
31,unemployed,divorced,primary,yes,no,yes
29,management,single,tertiary,yes,no,yes
53,entrepreneur,single,secondary,yes,no,yes
27,blue-collar,married,primary,yes,no,yes
39,management,married,tertiary,yes,no,yes
36,services,married,secondary,yes,no,yes
41,blue-collar,married,primary,yes,yes,yes
36,services,married,primary,yes,no,yes
32,technician,married,secondary,yes,no,yes
35,services,married,secondary,yes,no,yes
36,management,single,tertiary,yes,no,yes
35,management,married,tertiary,yes,no,yes
30,blue-collar,single,secondary,yes,no,yes
42,blue-collar,married,secondary,yes,no,yes
42,technician,single,secondary,yes,no,yes
32,blue-collar,married,primary,yes,no,yes
29,blue-collar,single,secondary,yes,no,yes
44,management,divorced,tertiary,yes,no,yes
32,technician,single,secondary,yes,no,yes
31,unemployed,married,secondary,yes,yes,yes
40,self-employed,married,secondary,yes,yes,yes
43,entrepreneur,married,secondary,no,no,yes
27,management,single,secondary,yes,no,yes
37,services,single,secondary,yes,no,yes
23,services,single,secondary,yes,no,yes
25,management,married,primary,yes,no,yes
26,blue-collar,single,secondary,yes,no,yes
47,blue-collar,divorced,primary,yes,no,yes
35,admin.,married,secondary,yes,no,yes
32,technician,single,tertiary,yes,no,yes
45,management,divorced,secondary,yes,no,yes
30,admin.,divorced,secondary,yes,no,yes
29,services,single,secondary,yes,no,yes
38,blue-collar,married,primary,yes,no,yes
23,blue-collar,single,secondary,yes,no,yes
27,management,single,tertiary,yes,no,yes
27,management,single,tertiary,yes,no,yes
29,services,single,secondary,yes,no,yes
30,self-employed,married,tertiary,yes,yes,yes
36,blue-collar,married,primary,yes,no,yes
35,admin.,divorced,secondary,yes,no,yes
36,blue-collar,married,secondary,no,no,yes
59,retired,divorced,primary,yes,no,yes
47,entrepreneur,married,secondary,no,no,yes
58,entrepreneur,married,tertiary,no,no,yes
37,management,single,tertiary,no,no,yes
46,admin.,single,secondary,yes,no,yes
43,blue-collar,single,secondary,yes,no,yes
27,management,single,tertiary,yes,no,yes
38,services,divorced,secondary,no,no,yes
53,housemaid,married,primary,no,yes,yes
47,blue-collar,married,secondary,no,no,yes
56,housemaid,divorced,primary,no,no,yes
41,housemaid,married,secondary,no,no,yes
29,self-employed,married,secondary,yes,no,yes
50,technician,married,secondary,yes,no,yes
45,blue-collar,divorced,primary,no,no,yes
35,blue-collar,married,secondary,yes,no,yes
26,technician,single,secondary,yes,no,yes
26,admin.,married,secondary,yes,yes,yes
37,blue-collar,married,unknown,no,yes,yes
30,admin.,single,secondary,yes,no,yes
38,management,single,tertiary,yes,no,yes
37,services,divorced,secondary,yes,no,yes
53,technician,married,secondary,no,no,yes
29,blue-collar,single,primary,yes,no,yes
35,management,single,tertiary,no,no,yes
28,blue-collar,married,secondary,yes,no,yes
55,blue-collar,married,unknown,no,no,yes
49,management,divorced,secondary,yes,no,yes
50,services,married,secondary,no,no,yes
43,management,single,tertiary,no,no,yes
58,self-employed,divorced,tertiary,no,no,yes
38,technician,married,primary,yes,no,yes
48,blue-collar,divorced,primary,no,no,yes
59,management,married,secondary,no,no,yes
58,blue-collar,married,secondary,no,no,yes
36,self-employed,single,tertiary,no,no,yes
42,entrepreneur,married,tertiary,no,no,yes
41,admin.,single,secondary,no,yes,yes
42,admin.,married,secondary,no,no,yes
39,management,married,tertiary,no,yes,yes
57,housemaid,married,primary,no,yes,yes
52,retired,married,unknown,no,no,yes
59,retired,married,unknown,no,no,yes
56,blue-collar,married,secondary,no,no,yes
49,management,married,tertiary,no,no,yes
35,blue-collar,divorced,unknown,no,no,yes
36,unemployed,married,secondary,no,no,yes
40,admin.,single,tertiary,no,no,yes
55,blue-collar,married,secondary,no,no,yes
58,admin.,married,secondary,no,no,yes
39,self-employed,married,tertiary,no,no,yes
47,housemaid,single,tertiary,no,no,yes
40,management,married,secondary,yes,no,yes
35,blue-collar,married,tertiary,no,no,yes
48,blue-collar,married,secondary,yes,no,yes
48,management,divorced,tertiary,no,yes,yes
24,blue-collar,single,secondary,yes,no,yes
49,blue-collar,married,primary,yes,no,yes
36,blue-collar,married,secondary,yes,no,yes
52,retired,divorced,tertiary,yes,yes,yes
42,entrepreneur,single,unknown,no,no,yes
36,services,married,secondary,no,no,yes
36,blue-collar,divorced,secondary,yes,no,yes
48,unemployed,single,tertiary,no,no,yes
51,management,single,secondary,yes,no,yes
51,blue-collar,married,secondary,no,yes,yes
46,technician,married,secondary,yes,no,yes
37,management,married,tertiary,no,no,yes
36,entrepreneur,married,tertiary,no,no,yes
47,management,married,secondary,no,no,yes
40,technician,divorced,tertiary,no,no,yes
38,student,single,tertiary,no,no,yes
40,management,married,secondary,no,no,yes
39,blue-collar,married,primary,yes,no,yes
60,management,married,tertiary,no,no,yes
39,self-employed,single,tertiary,no,no,yes
51,services,divorced,secondary,no,no,yes
27,admin.,married,secondary,yes,no,yes
41,management,single,tertiary,no,no,yes
42,blue-collar,single,primary,no,no,yes
41,entrepreneur,married,secondary,no,no,yes
33,technician,married,secondary,yes,yes,yes
46,admin.,married,secondary,no,no,yes
31,blue-collar,married,secondary,yes,no,yes
41,blue-collar,married,primary,no,yes,yes
41,blue-collar,divorced,secondary,no,no,yes
55,retired,divorced,secondary,no,yes,yes
53,technician,married,secondary,no,no,yes
55,housemaid,married,primary,no,no,yes
39,services,married,secondary,yes,no,yes
40,entrepreneur,married,tertiary,no,no,yes
59,retired,married,primary,no,no,yes
42,blue-collar,single,secondary,no,no,yes
41,blue-collar,married,primary,no,no,yes
27,blue-collar,married,secondary,yes,no,yes
25,blue-collar,single,secondary,yes,no,yes
43,unemployed,married,primary,no,no,yes
44,services,married,secondary,no,yes,yes
26,blue-collar,single,secondary,yes,no,yes
52,retired,married,tertiary,no,no,yes
54,services,married,unknown,no,yes,yes
56,management,married,tertiary,no,yes,yes
57,management,married,tertiary,no,yes,yes
29,blue-collar,single,secondary,yes,no,yes
47,technician,married,tertiary,no,yes,yes
57,management,married,tertiary,yes,yes,yes
40,blue-collar,married,secondary,yes,yes,yes
46,services,divorced,secondary,no,no,yes
43,blue-collar,single,secondary,yes,no,yes
45,management,married,tertiary,no,no,yes
24,management,married,secondary,yes,no,yes
40,blue-collar,married,secondary,yes,yes,yes
38,services,divorced,unknown,no,no,yes
36,unemployed,married,tertiary,no,no,yes
27,blue-collar,single,secondary,no,no,yes
26,admin.,single,primary,yes,no,yes
43,management,married,tertiary,yes,no,yes
25,blue-collar,single,primary,yes,no,yes
27,blue-collar,married,tertiary,yes,no,yes
30,technician,married,tertiary,yes,yes,yes
28,admin.,single,secondary,no,yes,yes
27,blue-collar,married,primary,no,yes,yes
32,admin.,divorced,secondary,no,yes,yes
41,blue-collar,single,secondary,yes,no,yes
37,technician,single,tertiary,no,no,yes
27,technician,single,secondary,no,no,yes
29,services,single,secondary,no,yes,yes
33,services,married,secondary,no,yes,yes
36,technician,married,primary,no,no,yes
28,blue-collar,single,secondary,yes,no,yes
55,blue-collar,married,secondary,yes,no,yes
51,technician,married,secondary,no,no,yes
39,technician,single,secondary,yes,no,yes
42,blue-collar,divorced,primary,yes,no,yes
33,services,single,secondary,no,no,yes
36,entrepreneur,divorced,tertiary,no,yes,yes
45,technician,married,secondary,no,no,yes
37,self-employed,married,secondary,no,no,yes
46,unemployed,married,secondary,no,no,yes
32,self-employed,single,tertiary,no,no,yes
28,technician,single,secondary,no,yes,yes
45,admin.,divorced,secondary,no,yes,yes
41,blue-collar,single,secondary,yes,yes,yes
59,blue-collar,divorced,primary,no,yes,yes
47,technician,single,secondary,yes,yes,yes
31,blue-collar,single,secondary,no,no,yes
31,management,single,tertiary,no,yes,yes
33,entrepreneur,married,secondary,yes,yes,yes
52,entrepreneur,married,tertiary,no,no,yes
26,self-employed,single,secondary,no,no,yes
25,technician,single,secondary,no,yes,yes
25,blue-collar,married,secondary,no,yes,yes
28,blue-collar,single,secondary,no,yes,yes
33,entrepreneur,divorced,tertiary,no,yes,yes
45,management,divorced,tertiary,no,yes,yes
36,services,married,secondary,no,yes,yes
26,blue-collar,single,secondary,no,yes,yes
38,technician,married,secondary,no,no,yes
56,blue-collar,single,secondary,no,yes,yes
26,admin.,single,secondary,no,yes,yes
26,technician,married,secondary,no,yes,yes
25,blue-collar,single,secondary,no,yes,yes
26,unemployed,single,secondary,no,no,yes
40,blue-collar,married,primary,yes,no,yes
37,admin.,married,primary,yes,no,yes
43,blue-collar,single,primary,no,no,yes
41,services,divorced,tertiary,yes,no,yes
49,blue-collar,married,secondary,no,yes,yes
29,admin.,divorced,tertiary,no,yes,yes
39,services,divorced,secondary,yes,no,yes
38,management,married,tertiary,yes,yes,yes
26,technician,married,secondary,no,yes,yes
32,management,married,tertiary,yes,yes,yes
33,blue-collar,married,primary,yes,yes,yes
31,management,single,tertiary,no,yes,yes
49,blue-collar,married,primary,no,yes,yes
27,unemployed,single,primary,no,yes,yes
30,blue-collar,single,secondary,yes,yes,yes
35,blue-collar,married,secondary,no,no,yes
26,blue-collar,single,secondary,yes,no,yes
45,entrepreneur,married,unknown,yes,yes,yes
34,admin.,married,secondary,yes,yes,yes
28,admin.,single,secondary,no,yes,yes
25,blue-collar,single,secondary,no,yes,yes
30,blue-collar,single,secondary,yes,no,yes
30,services,married,secondary,no,yes,yes
47,services,married,secondary,yes,no,yes
57,admin.,divorced,secondary,no,no,yes
38,management,married,tertiary,yes,no,yes
54,technician,married,secondary,no,yes,yes
25,blue-collar,single,primary,no,no,yes
30,blue-collar,married,secondary,yes,yes,yes
26,management,single,tertiary,no,no,yes
31,student,married,primary,yes,no,yes
29,blue-collar,single,secondary,no,yes,yes
49,blue-collar,married,secondary,yes,no,yes
60,retired,divorced,secondary,no,no,yes
60,management,married,tertiary,yes,no,yes
29,management,single,tertiary,yes,no,yes
55,management,divorced,secondary,yes,no,yes
44,admin.,married,secondary,yes,no,yes
47,technician,married,secondary,yes,no,yes
35,admin.,married,secondary,yes,no,yes
35,entrepreneur,married,secondary,no,yes,yes
38,technician,married,secondary,yes,no,yes
34,entrepreneur,married,tertiary,yes,no,yes
50,technician,married,secondary,no,yes,yes
43,admin.,married,tertiary,yes,no,yes
44,admin.,divorced,secondary,yes,no,yes
51,services,divorced,secondary,no,yes,yes
31,technician,married,secondary,yes,no,yes
39,technician,married,tertiary,yes,no,yes
59,management,married,tertiary,no,yes,yes
25,services,single,secondary,no,yes,yes
58,management,married,tertiary,yes,no,yes
30,entrepreneur,married,primary,yes,no,yes
34,blue-collar,single,primary,yes,no,yes
51,services,divorced,secondary,no,yes,yes
60,retired,married,secondary,no,no,yes
51,entrepreneur,married,secondary,no,yes,yes
37,management,divorced,tertiary,no,no,yes
30,blue-collar,single,primary,no,no,yes
46,entrepreneur,divorced,secondary,no,yes,yes
29,student,single,tertiary,no,no,yes
27,entrepreneur,married,tertiary,no,no,yes
28,management,single,tertiary,yes,no,yes
34,blue-collar,single,secondary,yes,no,yes
29,blue-collar,single,unknown,yes,yes,yes
27,management,single,tertiary,yes,no,yes
26,technician,single,secondary,no,no,yes
36,management,married,tertiary,yes,no,yes
44,blue-collar,married,primary,yes,no,yes
39,blue-collar,married,tertiary,no,no,yes
30,technician,married,secondary,yes,yes,yes
31,unemployed,divorced,tertiary,yes,no,yes
56,blue-collar,married,primary,yes,no,yes
29,blue-collar,married,secondary,yes,no,yes
43,blue-collar,married,secondary,no,yes,yes
32,blue-collar,married,secondary,yes,no,yes
30,admin.,single,secondary,no,no,yes
40,blue-collar,married,secondary,yes,yes,yes
42,services,married,secondary,yes,yes,yes
27,student,married,secondary,yes,no,yes
35,management,married,tertiary,no,yes,yes
35,housemaid,married,primary,yes,no,yes
32,blue-collar,single,secondary,yes,no,yes
39,technician,married,secondary,yes,no,yes
31,blue-collar,divorced,secondary,yes,no,yes
26,services,single,secondary,no,yes,yes
42,management,married,tertiary,yes,no,yes
27,services,single,secondary,yes,no,yes
33,self-employed,divorced,secondary,yes,no,yes
51,blue-collar,married,primary,yes,no,yes
33,admin.,married,secondary,yes,no,yes
30,technician,single,tertiary,no,no,yes
52,housemaid,married,primary,yes,no,yes
42,blue-collar,divorced,primary,yes,no,yes
31,management,divorced,tertiary,yes,no,yes
27,services,married,secondary,yes,no,yes
44,blue-collar,single,secondary,no,yes,yes
40,entrepreneur,divorced,secondary,yes,no,yes
46,housemaid,divorced,primary,yes,no,yes
32,services,divorced,secondary,yes,no,yes
56,technician,divorced,secondary,no,no,yes
33,blue-collar,married,secondary,yes,no,yes
33,blue-collar,married,secondary,yes,no,yes
32,self-employed,married,primary,yes,no,yes
41,blue-collar,divorced,primary,yes,no,yes
31,admin.,single,secondary,no,no,yes
30,admin.,divorced,secondary,yes,no,yes
34,admin.,divorced,secondary,no,no,yes
43,entrepreneur,married,secondary,yes,no,yes
28,blue-collar,married,secondary,no,no,yes
32,admin.,divorced,secondary,no,yes,yes
31,blue-collar,divorced,secondary,yes,yes,yes
35,entrepreneur,single,tertiary,yes,no,yes
31,management,married,tertiary,yes,no,yes
25,services,single,secondary,no,yes,yes
56,retired,divorced,tertiary,no,yes,yes
47,technician,married,secondary,yes,no,yes
39,management,married,tertiary,yes,no,yes
51,management,married,tertiary,yes,no,yes
54,technician,divorced,secondary,no,yes,yes
58,retired,married,unknown,no,no,yes
42,unemployed,married,unknown,yes,no,yes
56,services,married,primary,no,yes,yes
55,housemaid,married,secondary,yes,no,yes
26,blue-collar,single,primary,yes,no,yes
40,admin.,single,secondary,no,no,yes
26,technician,single,secondary,no,yes,yes
35,management,single,tertiary,no,yes,yes
34,services,single,secondary,no,no,yes
41,management,single,tertiary,no,no,yes
44,management,married,primary,yes,no,yes
33,management,single,tertiary,yes,no,yes
36,management,divorced,tertiary,no,yes,yes
38,technician,married,secondary,yes,no,yes
35,technician,married,tertiary,yes,no,yes
41,technician,single,tertiary,no,no,yes
41,management,divorced,unknown,yes,no,yes
28,blue-collar,married,secondary,yes,no,yes
26,services,married,secondary,yes,yes,yes
39,blue-collar,single,secondary,no,no,yes
25,admin.,married,unknown,yes,no,yes
37,admin.,married,secondary,yes,no,yes
25,management,married,secondary,yes,no,yes
46,management,divorced,tertiary,yes,no,yes
25,blue-collar,single,secondary,yes,no,yes
28,technician,single,tertiary,no,yes,yes
33,services,divorced,secondary,no,yes,yes
32,management,single,secondary,yes,yes,yes
32,blue-collar,married,secondary,yes,no,yes
47,technician,single,secondary,yes,no,yes
50,entrepreneur,married,tertiary,yes,no,yes
27,technician,married,secondary,yes,no,yes
45,admin.,married,secondary,yes,no,yes
51,admin.,single,secondary,no,no,yes
36,admin.,married,secondary,yes,yes,yes
51,self-employed,married,secondary,yes,no,yes
33,services,single,tertiary,yes,no,yes
59,technician,married,secondary,yes,yes,yes
38,entrepreneur,married,tertiary,no,no,yes
40,services,married,secondary,yes,no,yes
51,blue-collar,married,primary,yes,no,yes
41,entrepreneur,single,secondary,no,no,yes
38,entrepreneur,married,secondary,yes,yes,yes
31,management,married,tertiary,yes,yes,yes
28,admin.,single,secondary,yes,no,yes
41,blue-collar,married,secondary,no,yes,yes
33,management,divorced,tertiary,yes,no,yes
25,student,single,secondary,yes,no,yes
45,admin.,divorced,secondary,yes,no,yes
31,blue-collar,married,primary,yes,no,yes
28,services,single,secondary,yes,no,yes
49,technician,divorced,secondary,no,no,yes
25,services,married,secondary,yes,no,yes
28,unemployed,single,tertiary,yes,no,yes
54,retired,married,secondary,no,no,yes
28,technician,single,tertiary,yes,no,yes
27,technician,single,tertiary,yes,yes,yes
49,blue-collar,single,primary,yes,no,yes
53,blue-collar,married,primary,yes,no,yes
26,technician,single,secondary,no,yes,yes
37,services,married,secondary,no,yes,yes
34,blue-collar,single,secondary,no,yes,yes
51,retired,married,primary,no,no,yes
39,housemaid,married,secondary,no,no,yes
35,technician,single,tertiary,yes,no,yes
51,unemployed,married,primary,yes,no,yes
30,management,single,tertiary,yes,yes,yes
42,blue-collar,single,primary,yes,no,yes
54,management,married,secondary,yes,no,yes
51,blue-collar,married,primary,yes,yes,yes
57,retired,divorced,primary,no,yes,yes
30,management,married,tertiary,yes,no,yes
37,blue-collar,single,secondary,no,yes,yes
39,technician,married,secondary,yes,no,yes
35,technician,married,tertiary,no,no,yes
48,management,married,secondary,yes,no,yes
31,management,married,tertiary,yes,yes,yes
35,self-employed,married,secondary,yes,no,yes
48,housemaid,married,secondary,no,yes,yes
53,housemaid,married,primary,no,no,yes
27,technician,single,secondary,no,no,yes
55,technician,married,secondary,yes,no,yes
40,services,married,secondary,yes,no,yes
40,self-employed,single,tertiary,no,no,yes
38,blue-collar,divorced,secondary,yes,no,yes
54,retired,single,secondary,no,yes,yes
54,technician,married,secondary,no,yes,yes
50,admin.,single,secondary,no,no,yes
48,management,divorced,tertiary,no,no,yes
41,services,married,unknown,no,no,yes
51,blue-collar,divorced,primary,no,no,yes
42,technician,single,tertiary,no,no,yes
58,retired,divorced,secondary,yes,no,yes
47,unemployed,married,secondary,no,no,yes
58,admin.,married,secondary,yes,no,yes
41,blue-collar,married,secondary,no,yes,yes
50,admin.,married,secondary,no,no,yes
46,housemaid,married,secondary,yes,no,yes
44,blue-collar,married,secondary,no,no,yes
36,services,married,secondary,no,no,yes
58,management,divorced,secondary,no,no,yes
44,unemployed,single,primary,no,yes,yes
49,entrepreneur,divorced,unknown,yes,no,yes
55,management,married,tertiary,no,no,yes
52,unemployed,married,primary,no,no,yes
60,retired,divorced,secondary,no,no,yes
41,services,married,unknown,no,yes,yes
36,management,married,tertiary,no,no,yes
41,blue-collar,divorced,primary,no,no,yes
50,entrepreneur,married,tertiary,no,no,yes
44,housemaid,married,primary,no,yes,yes
54,technician,married,secondary,no,no,yes
35,management,married,tertiary,yes,no,yes
59,retired,divorced,secondary,no,no,yes
42,entrepreneur,married,unknown,yes,no,yes
27,management,single,tertiary,yes,no,yes
59,housemaid,divorced,primary,no,no,yes
43,admin.,married,secondary,no,no,yes
39,technician,single,secondary,no,yes,yes
33,unemployed,married,secondary,no,no,yes
36,self-employed,single,tertiary,no,no,yes
35,blue-collar,divorced,primary,yes,no,yes
50,blue-collar,married,unknown,yes,no,yes
55,technician,married,secondary,yes,yes,yes
51,unemployed,divorced,tertiary,no,no,yes
48,entrepreneur,married,tertiary,no,no,yes
55,housemaid,divorced,primary,no,no,yes
30,services,married,secondary,yes,no,yes
53,blue-collar,married,primary,no,no,yes
40,blue-collar,married,secondary,no,no,yes
44,technician,married,primary,no,yes,yes
49,management,divorced,tertiary,no,no,yes
40,admin.,married,secondary,no,no,yes
58,unemployed,married,primary,no,no,yes
49,services,married,secondary,no,no,yes
38,technician,married,secondary,no,no,yes
51,housemaid,divorced,tertiary,no,no,yes
36,management,divorced,tertiary,no,no,yes
55,retired,married,secondary,no,no,yes
43,technician,married,tertiary,no,no,yes
60,management,divorced,secondary,no,no,yes
57,retired,married,secondary,no,no,yes
41,technician,married,tertiary,no,no,yes
50,technician,married,tertiary,no,no,yes
53,blue-collar,married,secondary,no,no,yes
59,retired,married,primary,yes,yes,yes
59,housemaid,married,primary,no,no,yes
52,unknown,married,unknown,no,no,yes
58,management,divorced,tertiary,no,no,yes
59,retired,married,primary,yes,no,yes
49,technician,single,secondary,no,no,yes
33,management,divorced,tertiary,no,no,yes
55,blue-collar,married,primary,no,no,yes
42,technician,married,tertiary,no,no,yes
52,services,married,secondary,no,no,yes
38,technician,married,tertiary,no,no,yes
55,technician,married,tertiary,no,yes,yes
49,technician,married,tertiary,no,no,yes
56,technician,divorced,secondary,yes,no,yes
46,technician,married,secondary,no,no,yes
57,retired,divorced,tertiary,no,no,yes
61,retired,married,secondary,no,no,yes
45,admin.,married,secondary,no,no,yes
39,management,married,tertiary,no,no,yes
46,admin.,married,secondary,no,no,yes
43,management,single,tertiary,no,no,yes
